1254092,Sharjah,2021-09-28,2021,41,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,3,NA,SP Narine,Nitin Menon,HAS Khalid
1254100,Dubai,2021-09-27,2021,40,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,Wickets,7,NA,JJ Roy,KN Ananthapadmanabhan,Navdeep Singh
1254098,Abu Dhabi,2021-09-26,2021,38,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Wickets,2,NA,RA Jadeja,CB Gaffaney,Tapan Sharma
1254108,Dubai,2021-09-26,2021,39,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Runs,54,NA,GJ Maxwell,AK Chaudhary,MA Gough
1254097,Abu Dhabi,2021-09-25,2021,36,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,Runs,33,NA,SS Iyer,CB Gaffaney,UV Gandhe
1254107,Sharjah,2021-09-25,2021,37,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,Runs,5,NA,JO Holder,RK Illingworth,YC Barde
1254113,Sharjah,2021-09-24,2021,35,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,6,NA,DJ Bravo,AK Chaudhary,Nitin Menon
1254096,Abu Dhabi,2021-09-23,2021,34,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7,NA,SP Narine,S Ravi,VK Sharma
1254105,Dubai,2021-09-22,2021,33,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,Wickets,8,NA,A Nortje,KN Ananthapadmanabhan,RK Illingworth
1254111,Dubai,2021-09-21,2021,32,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,Runs,2,NA,Kartik Tyagi,AK Chaudhary,MA Gough
1254087,Abu Dhabi,2021-09-20,2021,31,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,Wickets,9,NA,CV Varun,CB Gaffaney,S Ravi
1254104,Dubai,2021-09-19,2021,30,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Runs,20,NA,RD Gaikwad,Nitin Menon,RK Illingworth
1254086,Ahmedabad,2021-05-02,2021,29,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,7,NA,MA Agarwal,AK Chaudhary,AY Dandekar
1254085,Delhi,2021-05-02,2021,28,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,Runs,55,NA,JC Buttler,C Shamshuddin,CB Gaffaney
1254084,Delhi,2021-05-01,2021,27,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,4,NA,KA Pollard,KN Ananthapadmanabhan,CK Nandan
1254083,Ahmedabad,2021-04-30,2021,26,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,Runs,34,NA,Harpreet Brar,S Ravi,VK Sharma
1254082,Ahmedabad,2021-04-29,2021,25,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,7,NA,PP Shaw,AK Chaudhary,YC Barde
1254081,Delhi,2021-04-29,2021,24,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,7,NA,Q de Kock,CB Gaffaney,KN Ananthapadmanabhan
1254080,Delhi,2021-04-28,2021,23,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,Wickets,7,NA,RD Gaikwad,C Shamshuddin,CK Nandan
1254079,Ahmedabad,2021-04-27,2021,22,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Runs,1,NA,AB de Villiers,S Ravi,VK Sharma
